Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,-1.30,-6.69,4.79,0.1503,0.0063,-1.4083,0.3859,0.6239,-1.0219
0.000,6.54,-5.98,5.43,0.0854,0.0859,-1.2288,0.3796,0.5675,-1.0400
0.000,0.16,2.44,-2.99,0.0901,0.0904,-0.9481,0.4588,0.5410,-1.0823
0.000,-2.26,3.23,-5.89,0.1000,-0.0328,-1.0404,0.3737,0.5724,-1.0300
0.000,32.05,-4.29,-9.07,0.1188,0.1568,-1.1514,0.2771,0.7015,-1.0010
0.000,-8.85,6.34,-3.88,0.0562,0.1881,-1.1366,0.3779,0.6345,-1.0649
0.000,7.13,5.96,15.65,-0.0020,0.0862,-0.8490,0.4634,0.5945,-0.9847
0.000,-0.78,10.06,10.35,0.0832,-0.1504,-1.2237,0.4625,0.6061,-1.0521
0.000,-6.92,-28.90,24.54,0.0771,0.0900,-1.1460,0.4376,0.6865,-1.0161
0.000,-10.88,-2.21,0.80,0.1249,0.1729,-1.1344,0.5143,0.5585,-0.9997
0.000,5.06,9.57,-5.12,0.1639,0.0450,-1.0704,0.4358,0.5731,-0.8938
0.000,9.92,-36.83,-22.23,0.2094,0.0657,-1.0925,0.4947,0.6160,-0.8372
0.000,-6.06,-3.31,9.02,0.1456,0.1285,-1.2603,0.5637,0.6410,-0.8702
0.000,-13.33,3.09,23.72,0.1164,0.1426,-0.9192,0.7386,0.6124,-0.8806
0.000,5.88,6.23,24.30,0.1087,0.0756,-0.9765,0.6058,0.6326,-0.9145
0.000,24.93,24.28,-6.55,0.1686,-0.0554,-1.2129,0.6612,0.5881,-0.9514
0.000,49.51,25.70,27.31,0.2124,0.1013,-1.2046,0.6356,0.6396,-0.9328
0.000,-6.34,1.39,-4.51,0.1434,0.2018,-1.0940,0.3640,0.7180,-1.0008
0.000,0.71,-11.16,34.96,0.1359,0.0316,-1.0970,0.3231,0.6763,-1.0971
